,timestamp,humidity,co2,temperature,sensor_r,sensor_l,thermal,day_of_week,day,month
105,2018-10-14T02:15:00.000000Z,51.2042,487,20.4873,0,0,43.30000000000004,6,14,10
106,2018-10-14T02:30:00.000000Z,51.2043,483,20.4872,0,0,3.0000000000000604,6,14,10
107,2018-10-14T02:45:00.000000Z,,,,0,0,-69.29999999999995,6,14,10
108,2018-10-14T03:00:00.000000Z,51.2027,479,20.4871,0,0,-29.499999999999996,6,14,10
109,2018-10-14T03:15:00.000000Z,51.203,480,20.4871,0,0,-111.99999999999991,6,14,10
110,2018-10-14T03:30:00.000000Z,51.2022,481,20.4872,0,0,-26.89999999999995,6,14,10
111,2018-10-14T03:45:00.000000Z,,,,0,0,-58.2999999999999,6,14,10
112,2018-10-14T04:00:00.000000Z,,,,0,0,8.700000000000067,6,14,10
113,2018-10-14T04:15:00.000000Z,51.2007,475,20.4869,0,0,36.8,6,14,10
114,2018-10-14T04:30:00.000000Z,51.2013,474,20.4867,0,0,59.30000000000011,6,14,10
115,2018-10-14T04:45:00.000000Z,,,,0,0,-91.59999999999988,6,14,10
116,2018-10-14T05:00:00.000000Z,51.2002,478,20.4867,0,0,-101.7999999999999,6,14,10
117,2018-10-14T05:15:00.000000Z,48.6604,449,20.4858,0,0,-109.09999999999988,6,14,10
118,2018-10-14T05:30:00.000000Z,48.6596,430,20.4856,0,0,-32.400000000000006,6,14,10
119,2018-10-14T05:45:00.000000Z,48.6587,427,20.4861,0,0,-25.400000000000066,6,14,10
120,2018-10-14T06:00:00.000000Z,,,,0,0,-34.999999999999986,6,14,10
121,2018-10-14T06:15:00.000000Z,48.6589,423,20.4877,0,0,-0.3999999999999666,6,14,10
122,2018-10-14T06:30:00.000000Z,48.6583,423,20.4888,0,0,64.20000000000003,6,14,10
123,2018-10-14T06:45:00.000000Z,,,,0,0,-82.29999999999988,6,14,10
124,2018-10-14T07:00:00.000000Z,48.657,422,20.4905,0,0,-107.19999999999999,6,14,10
125,2018-10-14T07:15:00.000000Z,,,,0,0,62.59999999999998,6,14,10
126,2018-10-14T07:30:00.000000Z,,,,0,0,14.499999999999979,6,14,10
127,2018-10-14T07:45:00.000000Z,48.6548,429,20.4935,0,0,-28.800000000000015,6,14,10
128,2018-10-14T08:00:00.000000Z,,,,0,0,-48.09999999999994,6,14,10
129,2018-10-14T08:15:00.000000Z,48.6546,418,20.4949,0,0,-1.8999999999999453,6,14,10
130,2018-10-14T08:30:00.000000Z,48.6518,423,20.495,0,0,51.599999999999916,6,14,10
131,2018-10-14T08:45:00.000000Z,,,,0,0,-50.30000000000001,6,14,10
132,2018-10-14T09:00:00.000000Z,48.6501,421,20.4948,0,0,-60.50000000000004,6,14,10
133,2018-10-14T09:15:00.000000Z,48.6501,427,20.4945,0,0,-29.899999999999913,6,14,10
134,2018-10-14T09:30:00.000000Z,48.6503,426,20.4942,0,0,31.90000000000001,6,14,10
135,2018-10-14T09:45:00.000000Z,,,,0,0,-22.999999999999936,6,14,10
136,2018-10-14T10:00:00.000000Z,,,,0,0,14.499999999999968,6,14,10
137,2018-10-14T10:15:00.000000Z,,,,0,0,-26.89999999999997,6,14,10
138,2018-10-14T10:30:00.000000Z,48.6531,420,20.4927,0,0,45.99999999999997,6,14,10
139,2018-10-14T10:45:00.000000Z,,,,0,0,10.800000000000026,6,14,10
140,2018-10-14T11:00:00.000000Z,,,,0,0,-12.999999999999982,6,14,10
141,2018-10-14T11:15:00.000000Z,,,,0,0,3.4000000000000377,6,14,10
142,2018-10-14T11:30:00.000000Z,,,,0,0,20.19999999999998,6,14,10
143,2018-10-14T11:45:00.000000Z,,,,0,0,-94.70000000000005,6,14,10
144,2018-10-14T12:00:00.000000Z,,,,0,0,61.7,6,14,10
145,2018-10-14T12:15:00.000000Z,,,,0,0,32.29999999999996,6,14,10
146,2018-10-14T12:30:00.000000Z,,,,0,0,-10.699999999999903,6,14,10
147,2018-10-14T12:45:00.000000Z,,,,2,0,-46.00000000000004,6,14,10
148,2018-10-14T13:00:00.000000Z,,,,0,0,70.19999999999993,6,14,10
149,2018-10-14T13:15:00.000000Z,,,,0,0,1.9999999999999893,6,14,10
150,2018-10-14T13:30:00.000000Z,,,,0,0,-35.39999999999997,6,14,10
151,2018-10-14T13:45:00.000000Z,,,,0,0,19.6,6,14,10
152,2018-10-14T14:00:00.000000Z,,,,0,0,-8.500000000000046,6,14,10
153,2018-10-14T14:15:00.000000Z,,,,0,0,-56.999999999999915,6,14,10
154,2018-10-14T14:30:00.000000Z,,,,0,0,26.700000000000056,6,14,10
155,2018-10-14T14:45:00.000000Z,,,,0,0,-47.399999999999906,6,14,10
156,2018-10-14T15:00:00.000000Z,,,,0,0,145.59999999999988,6,14,10
157,2018-10-14T15:15:00.000000Z,,,,0,0,29.500000000000014,6,14,10
158,2018-10-14T15:30:00.000000Z,,,,0,0,1.999999999999936,6,14,10
159,2018-10-14T15:45:00.000000Z,,,,0,0,-39.10000000000004,6,14,10
160,2018-10-14T16:00:00.000000Z,,,,0,0,-47.8,6,14,10
161,2018-10-14T16:15:00.000000Z,,,,0,0,-17.899999999999988,6,14,10
162,2018-10-14T16:30:00.000000Z,,,,0,0,-18.000000000000036,6,14,10
163,2018-10-14T16:45:00.000000Z,48.6584,425,20.4861,0,0,59.89999999999992,6,14,10
164,2018-10-14T17:00:00.000000Z,48.6591,424,20.486,0,0,-15.10000000000002,6,14,10
165,2018-10-14T17:15:00.000000Z,48.6583,427,20.4861,0,0,-29.80000000000002,6,14,10
166,2018-10-14T17:30:00.000000Z,48.6561,427,20.4867,0,0,58.700000000000045,6,14,10
