;co2;humidity;temperature;timestamp;month;day;time
8872;427;35.8655;20.4882;4;11;16;18:30:37
8873;430;35.8655;20.4882;4;11;16;18:32:07
8874;432;35.8642;20.4882;4;11;16;18:35:58
8875;427;35.8632;20.4881;4;11;16;18:38:19
8876;427;35.8632;20.4881;4;11;16;18:38:19
8877;417;35861;20.488000000000003;4;11;16;18:43:42
8878;425;35.8593;20.4879;4;11;16;18:49:26
8879;424;35.8587;20.488000000000003;4;11;16;18:51:11
8880;432;35.8532;20.4879;4;11;16;19:04:57
8881;420;35.8492;20.4875;4;11;16;19:15:23
8882;420;35.8492;20.4875;4;11;16;19:15:23
8883;423;35.8494;20.4876;4;11;16;19:16:23
8884;423;35.8494;20.4876;4;11;16;19:16:23
8885;425;35.8484;20.4875;4;11;16;19:20:22
8886;424;35.8487;20.4875;4;11;16;19:22:31
8887;421;35848;20.4875;4;11;16;19:25:28
8888;421;35848;20.4875;4;11;16;19:25:28
8889;426;35.8484;20.4876;4;11;16;19:26:53
8890;423;35.8461;20.4875;4;11;16;19:34:27
8891;427;35.8462;20.4874;4;11;16;19:41:48
8892;428;35846;20.4874;4;11;16;19:42:53
8893;429;35.8464;20.4875;4;11;16;19:46:23
8894;431;35.8463;20.4873;4;11;16;19:47:58
8895;429;35.8461;20.4874;4;11;16;19:49:37
8896;424;35.8458;20.4874;4;11;16;19:52:30
8897;436;35.8461;20.4874;4;11;16;19:54:07
8898;429;35.8455;20.4873;4;11;16;19:56:27
8899;428;35.8452;20.4874;4;11;16;19:58:03
8900;428;35.8452;20.4874;4;11;16;19:58:03
8901;425;35.8453;20.4873;4;11;16;20:01:03
8902;430;35.8462;20.4872;4;11;16;20:06:36
8903;434;35.8461;20.4872;4;11;16;20:08:23
8904;434;35.8463;20.4872;4;11;16;20:10:53
8905;425;35.8464;20.4872;4;11;16;20:12:58
8906;427;35.8465;20.4872;4;11;16;20:14:08
8907;429;35.8466;20.4872;4;11;16;20:16:23
8908;427;35.8467;20.4873;4;11;16;20:17:28
8909;433;35.8472;20.4872;4;11;16;20:21:07
8910;432;35.8468;20.4871;4;11;16;20:22:24
8911;433;35847;20.4871;4;11;16;20:23:29
8912;430;35.8472;20487;4;11;16;20:26:32
8913;432;35847;20487;4;11;16;20:27:39
8914;430;35.8475;20.4868;4;11;16;20:30:52
8915;424;35.8477;20.4867;4;11;16;20:32:17
8916;428;35.8483;20.4867;4;11;16;20:35:03
8917;428;35848;20.4866;4;11;16;20:37:13
8918;433;35.8484;20.4865;4;11;16;20:38:18
8919;431;35.8482;20.4864;4;11;16;20:39:28
8920;422;35.8486;20.4864;4;11;16;20:44:28
8921;426;35.84900000000001;20.4862;4;11;16;20:46:28
8922;427;35.84900000000001;20.4863;4;11;16;20:47:34
8923;431;35.8492;20.4861;4;11;16;20:51:11
8924;431;35.8492;20.4861;4;11;16;20:51:11
8925;433;35.8494;20486;4;11;16;20:52:25
8926;429;35.8495;20.4861;4;11;16;20:53:28
8927;424;35.8495;20486;4;11;16;20:54:49
8928;424;35.8495;20486;4;11;16;20:54:49
8929;427;35.8499;20.4859;4;11;16;20:59:35
8930;431;35.85;20.4858;4;11;16;21:01:49
8931;431;35.85;20.4858;4;11;16;21:01:49
8932;430;35.8504;20.4858;4;11;16;21:04:05
8933;434;35.8503;20.4857;4;11;16;21:06:44
8934;434;35.8506;20.4856;4;11;16;21:08:15
8935;428;35.8501;20.4856;4;11;16;21:10:13
8936;428;35.8505;20.4856;4;11;16;21:11:15
8937;430;35.8509;20.4854;4;11;16;21:14:24
8938;432;35.8512;20.4854;4;11;16;21:17:54
8939;432;35.8512;20.4854;4;11;16;21:17:54
8940;428;35.8512;20.4854;4;11;16;21:21:44
8941;428;35.8508;20.4855;4;11;16;21:23:19
8942;426;35.8516;20.4854;4;11;16;21:25:59
