;timestamp;sensor_r;sensor_l
265;2018-10-14 18:15:00;0;0
266;2018-10-14 18:30:00;0;0
267;2018-10-14 18:45:00;0;0
268;2018-10-14 19:00:00;0;0
269;2018-10-14 19:15:00;0;0
270;2018-10-14 19:30:00;0;0
271;2018-10-14 19:45:00;0;0
272;2018-10-14 20:00:00;0;0
273;2018-10-14 20:15:00;0;0
274;2018-10-14 20:30:00;0;0
275;2018-10-14 20:45:00;0;0
276;2018-10-14 21:00:00;0;0
277;2018-10-14 21:15:00;0;0
278;2018-10-14 21:30:00;0;0
279;2018-10-14 21:45:00;0;0
280;2018-10-14 22:00:00;0;0
281;2018-10-14 22:15:00;0;0
282;2018-10-14 22:30:00;0;0
283;2018-10-14 22:45:00;0;0
284;2018-10-14 23:00:00;0;0
285;2018-10-14 23:15:00;0;0
286;2018-10-14 23:30:00;0;0
287;2018-10-14 23:45:00;0;0
288;2018-10-15 00:00:00;0;0
289;2018-10-15 00:15:00;0;0
290;2018-10-15 00:30:00;0;0
291;2018-10-15 00:45:00;0;0
292;2018-10-15 01:00:00;0;0
293;2018-10-15 01:15:00;0;0
294;2018-10-15 01:30:00;0;0
295;2018-10-15 01:45:00;0;0
296;2018-10-15 02:00:00;0;0
297;2018-10-15 02:15:00;0;0
298;2018-10-15 02:30:00;0;0
299;2018-10-15 02:45:00;0;0
300;2018-10-15 03:00:00;0;0
301;2018-10-15 03:15:00;0;0
302;2018-10-15 03:30:00;0;0
303;2018-10-15 03:45:00;0;0
304;2018-10-15 04:00:00;0;0
305;2018-10-15 04:15:00;0;2
306;2018-10-15 04:30:00;0;15
307;2018-10-15 04:45:00;0;15
308;2018-10-15 05:00:00;0;15
309;2018-10-15 05:15:00;0;9
310;2018-10-15 05:30:00;0;12
311;2018-10-15 05:45:00;0;15
312;2018-10-15 06:00:00;0;15
313;2018-10-15 06:15:00;0;15
314;2018-10-15 06:30:00;0;15
315;2018-10-15 06:45:00;0;3
316;2018-10-15 07:00:00;0;3
317;2018-10-15 07:15:00;0;4
318;2018-10-15 07:30:00;0;14
319;2018-10-15 07:45:00;0;15
320;2018-10-15 08:00:00;0;15
321;2018-10-15 08:15:00;11;15
322;2018-10-15 08:30:00;15;15
323;2018-10-15 08:45:00;15;15
324;2018-10-15 09:00:00;14;9
325;2018-10-15 09:15:00;0;1
326;2018-10-15 09:30:00;0;15
327;2018-10-15 09:45:00;0;15
328;2018-10-15 10:00:00;0;15
329;2018-10-15 10:15:00;0;13
330;2018-10-15 10:30:00;0;15
331;2018-10-15 10:45:00;0;14
332;2018-10-15 11:00:00;0;13
333;2018-10-15 11:15:00;0;15
334;2018-10-15 11:30:00;0;8
335;2018-10-15 11:45:00;1;2
336;2018-10-15 12:00:00;15;0
337;2018-10-15 12:15:00;15;0
338;2018-10-15 12:30:00;15;0
339;2018-10-15 12:45:00;15;0
340;2018-10-15 13:00:00;15;4
341;2018-10-15 13:15:00;15;0
342;2018-10-15 13:30:00;15;0
343;2018-10-15 13:45:00;15;0
344;2018-10-15 14:00:00;14;0
345;2018-10-15 14:15:00;0;0
346;2018-10-15 14:30:00;2;0
347;2018-10-15 14:45:00;0;0
348;2018-10-15 15:00:00;0;0
349;2018-10-15 15:15:00;0;0
350;2018-10-15 15:30:00;0;0
351;2018-10-15 15:45:00;0;0
352;2018-10-15 16:00:00;0;0
353;2018-10-15 16:15:00;0;0
354;2018-10-15 16:30:00;0;0
355;2018-10-15 16:45:00;0;0
356;2018-10-15 17:00:00;0;0
357;2018-10-15 17:15:00;0;0
358;2018-10-15 17:30:00;0;0
359;2018-10-15 17:45:00;0;0
360;2018-10-15 18:00:00;0;0
361;2018-10-15 18:15:00;0;0
362;2018-10-15 18:30:00;0;0
363;2018-10-15 18:45:00;0;0
364;2018-10-15 19:00:00;0;0
365;2018-10-15 19:15:00;0;0
366;2018-10-15 19:30:00;0;0
367;2018-10-15 19:45:00;0;0
368;2018-10-15 20:00:00;0;0
369;2018-10-15 20:15:00;0;0
370;2018-10-15 20:30:00;0;0
371;2018-10-15 20:45:00;0;0
372;2018-10-15 21:00:00;0;0
373;2018-10-15 21:15:00;0;0
374;2018-10-15 21:30:00;0;0
375;2018-10-15 21:45:00;0;0
376;2018-10-15 22:00:00;0;0
377;2018-10-15 22:15:00;0;0
378;2018-10-15 22:30:00;0;0
379;2018-10-15 22:45:00;0;0
380;2018-10-15 23:00:00;0;0
381;2018-10-15 23:15:00;0;0
382;2018-10-15 23:30:00;0;0
383;2018-10-15 23:45:00;0;0
384;2018-10-16 00:00:00;0;0
385;2018-10-16 00:15:00;0;0
386;2018-10-16 00:30:00;0;0
387;2018-10-16 00:45:00;0;0
388;2018-10-16 01:00:00;0;0
389;2018-10-16 01:15:00;0;0
390;2018-10-16 01:30:00;0;0
391;2018-10-16 01:45:00;0;0
392;2018-10-16 02:00:00;0;0
393;2018-10-16 02:15:00;0;0
394;2018-10-16 02:30:00;0;0
395;2018-10-16 02:45:00;0;0
396;2018-10-16 03:00:00;0;0
397;2018-10-16 03:15:00;0;0
398;2018-10-16 03:30:00;0;0
399;2018-10-16 03:45:00;0;0
400;2018-10-16 04:00:00;0;0
401;2018-10-16 04:15:00;0;0
402;2018-10-16 04:30:00;0;0
403;2018-10-16 04:45:00;0;0
404;2018-10-16 05:00:00;0;0
405;2018-10-16 05:15:00;0;0
406;2018-10-16 05:30:00;0;1
407;2018-10-16 05:45:00;7;2
408;2018-10-16 06:00:00;15;6
409;2018-10-16 06:15:00;15;13
410;2018-10-16 06:30:00;13;14
411;2018-10-16 06:45:00;8;15
412;2018-10-16 07:00:00;0;15
413;2018-10-16 07:15:00;0;8
414;2018-10-16 07:30:00;0;0
415;2018-10-16 07:45:00;0;9
416;2018-10-16 08:00:00;0;15
417;2018-10-16 08:15:00;0;15
418;2018-10-16 08:30:00;0;15
419;2018-10-16 08:45:00;0;14
420;2018-10-16 09:00:00;0;1
421;2018-10-16 09:15:00;0;0
422;2018-10-16 09:30:00;0;9
423;2018-10-16 09:45:00;0;9
424;2018-10-16 10:00:00;13;3
425;2018-10-16 10:15:00;15;10
426;2018-10-16 10:30:00;14;6
427;2018-10-16 10:45:00;15;13
428;2018-10-16 11:00:00;3;15
429;2018-10-16 11:15:00;1;15
430;2018-10-16 11:30:00;1;15
431;2018-10-16 11:45:00;3;15
432;2018-10-16 12:00:00;14;15
433;2018-10-16 12:15:00;14;15
434;2018-10-16 12:30:00;15;2
435;2018-10-16 12:45:00;15;0
436;2018-10-16 13:00:00;15;0
437;2018-10-16 13:15:00;10;2
438;2018-10-16 13:30:00;0;0
439;2018-10-16 13:45:00;0;0
440;2018-10-16 14:00:00;0;0
441;2018-10-16 14:15:00;0;0
442;2018-10-16 14:30:00;0;0
443;2018-10-16 14:45:00;0;0
444;2018-10-16 15:00:00;0;0
445;2018-10-16 15:15:00;0;0
446;2018-10-16 15:30:00;0;0
447;2018-10-16 15:45:00;0;0
448;2018-10-16 16:00:00;0;0
449;2018-10-16 16:15:00;0;0
450;2018-10-16 16:30:00;0;0
